Player,Team,Position,Bye,Projected,Actual,Passing Yds,Passing TD,Int,Rushing Yds,Rushing TD,Receiving Yds,Receiving TD,Ret TD,Misc 2pt,Fum Lost,Fan Pts
Brandon Pettigrew,Det,TE,7,168,205,0,0,0,0,0,346,2,0,0,0,44
Dexter McCluster,KC,WR,4,169,-,-,-,-,-,-,-,-,-,-,-,-
New York,NYG,DEF,8,170,1396,-,-,-,-,-,-,-,-,-,-,109
Dallas,Dal,DEF,4,171,192,-,-,-,-,-,-,-,-,-,-,191
Demetrius Williams,Bal,WR,8,172,1491,0,0,0,0,0,142,1,0,0,0,18
Damian Williams,Ten,WR,9,173,-,-,-,-,-,-,-,-,-,-,-,-
New Orleans,NO,DEF,10,174,124,-,-,-,-,-,-,-,-,-,-,179
Josh Johnson,TB,QB,4,175,1558,685,4,8,148,0,0,0,0,0,1,40
Lawrence Tynes,NYG,K,8,176,131,-,-,-,-,-,-,-,-,-,-,150
Matt Cassel,KC,QB,4,177,71,2924,16,16,189,0,0,0,0,1,3,170
Chris Chambers,KC,WR,4,178,127,0,0,0,0,0,730,5,0,0,0,100
Joshua Cribbs,Cle,WR,8,179,163,18,0,1,381,1,135,1,4,0,2,162
Anthony Fasano,Mia,TE,5,180,219,0,0,0,0,0,339,2,0,0,2,37
Sam Hurd,Dal,WR,4,181,1517,0,0,0,0,0,121,1,0,0,0,16
Juaquin Iglesias,Chi,WR,8,182,1630,0,0,0,0,0,0,0,0,0,0,-
Rian Lindell,Buf,K,6,183,159,-,-,-,-,-,-,-,-,-,-,132
Miami,Mia,DEF,5,184,1389,-,-,-,-,-,-,-,-,-,-,135
Larry Johnson,Was,RB,9,185,222,0,0,0,581,0,80,0,0,0,1,54
Troy Williamson,Jac,WR,9,186,1605,0,0,0,0,0,34,0,0,0,1,1
Brandon LaFell,Car,WR,6,187,-,-,-,-,-,-,-,-,-,-,-,-
Byron Leftwich,Pit,QB,5,188,1667,594,4,3,6,0,0,0,0,0,0,36
Matt Moore,Car,QB,6,189,1427,1053,8,2,-3,0,0,0,0,0,0,74
Maurice Morris,Det,RB,7,190,197,0,0,0,384,2,210,0,0,1,0,63
Josh Scobee,Jac,K,9,191,214,-,-,-,-,-,-,-,-,-,-,106
Sebastian Janikowski,Oak,K,10,192,157,-,-,-,-,-,-,-,-,-,-,139
Nate Burleson,Det,WR,7,193,136,0,0,0,4,0,812,3,0,0,2,99
Jerheme Urban,KC,WR,4,194,1514,0,0,0,0,0,186,0,0,0,0,16
John Kasay,Car,K,6,195,190,-,-,-,-,-,-,-,-,-,-,119
James Davis,Cle,RB,8,196,1658,0,0,0,15,0,5,0,0,0,0,1
David Akers,Phi,K,8,197,93,-,-,-,-,-,-,-,-,-,-,172
Ryan Succop,KC,K,4,198,168,-,-,-,-,-,-,-,-,-,-,129
Kevin Smith,Det,RB,7,199,76,0,0,0,747,4,415,1,0,0,2,131
Trent Edwards,Buf,QB,6,200,1420,1169,6,7,106,0,0,0,0,0,0,69
Jermaine Gresham,Cin,TE,6,201,-,-,-,-,-,-,-,-,-,-,-,-
Jabar Gaffney,Den,WR,9,202,155,0,0,0,0,0,732,2,0,0,0,77
Willie Parker,Was,RB,9,203,1375,0,0,0,389,0,64,1,0,0,1,41
Benjamin Watson,Cle,TE,8,204,148,0,0,0,0,0,404,5,0,0,0,65
Mario Manningham,NYG,WR,8,205,111,0,0,0,0,0,822,5,0,0,1,104
Le'Ron McClain,Bal,RB,8,206,1398,0,0,0,180,2,141,0,0,0,0,33
Chansi Stuckey,Cle,WR,8,207,1380,0,0,0,6,0,318,2,0,0,0,40
San Diego,SD,DEF,10,208,207,-,-,-,-,-,-,-,-,-,-,155
